院校名称,年份,省份,科类,批次,最低分,最低位次,平均分,招生人数,院校代码
北京化工大学,2024,陕西,文科,本科一批,554,2877,,14,北京化工大学
东南大学,2024,陕西,文科,本科一批,554,2905,,2,32002
中国人民公安大学,2024,陕西,文科,本科提前批A段,554,2924,,,中国人民公安大学
暨南大学,2024,陕西,文科,本科一批,553,2941,,16,44003
湖南师范大学,2024,陕西,文科,本科一批,553,2998,,1,湖南师范大学
宁波大学,2024,陕西,文科,本科一批,552,3056,,2,宁波大学
华南师范大学,2024,陕西,文科,本科一批,552,3091,,21,华南师范大学
北京中医药大学,2024,陕西,文科,本科一批,551,3124,,4,北京中医药大学
山东大学（威海）,2024,陕西,文科,本科一批,551,3134,,14,山东大学（威海）
东北财经大学,2024,陕西,文科,本科一批,551,3137,,6,东北财经大学
中国矿业大学,2024,陕西,文科,本科一批,550,3248,,20,中国矿业大学
北京理工大学,2024,陕西,理科,本科一批,636,3318,,23,10005
东北大学秦皇岛分校,2024,陕西,文科,本科一批,549,3337,,5,东北大学秦皇岛分校
河海大学,2024,陕西,文科,本科一批,549,3339,,12,河海大学
郑州大学,2024,陕西,文科,本科一批,549,3361,,37,郑州大学
中国矿业大学（北京）,2024,陕西,文科,本科一批,548,3392,,10,中国矿业大学（北京）
中国人民解放军国防科技大学,2024,陕西,理科,本科一批,635,3399,,25,中国人民解放军国防科
南京财经大学,2024,陕西,文科,本科一批,548,3403,,4,南京财经大学
南京理工大学,2024,陕西,文科,本科一批,548,3453,,22,南京理工大学
哈尔滨工程大学,2024,陕西,文科,本科一批,548,3462,,16,哈尔滨工程大学
辽宁大学,2024,陕西,文科,本科一批,547,3508,,2,辽宁大学
天津大学,2024,陕西,理科,本科一批,634,3513,,58,天津大学
中国石油大学（华东）,2024,陕西,文科,本科一批,547,3520,,10,中国石油大学（华东）
西北农林科技大学,2024,陕西,文科,本科一批,547,3526,,89,61007
北京林业大学,2024,陕西,文科,本科一批,547,3554,,10,北京林业大学
武汉理工大学,2024,陕西,文科,本科一批,546,3607,,16,武汉理工大学
大连理工大学,2024,陕西,理科,本科一批,633,3659,,17,大连理工大学
扬州大学,2024,陕西,文科,本科一批,546,3666,,6,扬州大学
哈尔滨工业大学（威海）,2024,陕西,理科,本科一批,633,3701,,41,哈尔滨工业大学（威海
安徽大学,2024,陕西,文科,本科一批,545,3701,,37,安徽大学
华北电力大学保定校区,2024,陕西,文科,本科一批,545,3725,,11,华北电力大学保定校区
上海财经大学,2024,陕西,理科,本科一批,632,3740,,12,31005
浙江师范大学,2024,陕西,文科,本科一批,545,3777,,7,浙江师范大学
河海大学,2024,陕西,文科,本科一批,544,3818,,5,河海大学
北京邮电大学,2024,陕西,理科,本科一批,632,3841,,62,北京邮电大学
湖南大学,2024,陕西,文科,本科一批,544,3857,,2,湖南大学
武警警官学院,2024,陕西,文科,本科提前批,544,3885,,,武警警官学院
中央司法警官学院,2024,陕西,文科,本科提前批A段,544,3885,,,中央司法警官学院
南京农业大学,2024,陕西,文科,本科一批,543,3892,,6,南京农业大学
南昌大学,2024,陕西,文科,本科一批,543,3908,,23,南昌大学
对外经济贸易大学,2024,陕西,文科,本科一批,543,3930,,8,10009
上海海事大学,2024,陕西,文科,本科一批,543,3950,,2,上海海事大学
云南大学,2024,陕西,文科,本科一批,543,3963,,28,云南大学
北京师范大学,2024,陕西,理科,本科一批,630,3988,,16,北京师范大学
东北师范大学,2024,陕西,文科,本科一批,542,4004,,2,东北师范大学
上海立信会计金融学院,2024,陕西,文科,本科一批,542,4006,,6,上海立信会计金融学院
大连海事大学,2024,陕西,文科,本科一批,542,4012,,5,大连海事大学
华中农业大学,2024,陕西,文科,本科一批,542,4053,,12,华中农业大学
江苏大学,2024,陕西,文科,本科一批,541,4143,,4,江苏大学
江西师范大学,2024,陕西,文科,本科提前批C段,541,4229,,,江西师范大学
